2022-12-31 21:39:11,029 p=57329 u=craig n=ansible | PLAY [Create an LXC container in Proxmox] *****************************************************************************************************************************
2023-01-09 22:14:15,134 p=4295 u=craig n=ansible | fatal: [192.168.1.99]: FAILED! => {"changed": false, "msg": "Could not find or access 'enable_lxc_ssh_hook.sh'\nSearched in:\n\t/Users/craig/Projects/automation2/ansible/roles/pm_create_lxc/files/enable_lxc_ssh_hook.sh\n\t/Users/craig/Projects/automation2/ansible/roles/pm_create_lxc/enable_lxc_ssh_hook.sh\n\t/Users/craig/Projects/automation2/ansible/roles/pm_create_lxc/tasks/files/enable_lxc_ssh_hook.sh\n\t/Users/craig/Projects/automation2/ansible/roles/pm_create_lxc/tasks/enable_lxc_ssh_hook.sh\n\t/Users/craig/Projects/automation2/ansible/playbooks/files/enable_lxc_ssh_hook.sh\n\t/Users/craig/Projects/automation2/ansible/playbooks/enable_lxc_ssh_hook.sh on the Ansible Controller.\nIf you are using a module and expect the file to exist on the remote, see the remote_src option"}
2023-01-09 22:14:15,135 p=4295 u=craig n=ansible | PLAY RECAP ******************************************************************************************************************************************************************************
2023-01-09 22:14:15,135 p=4295 u=craig n=ansible | 192.168.1.99               : ok=4    changed=0    unreachable=0    failed=1    skipped=0    rescued=0    ignored=0   
2023-01-09 22:15:44,504 p=4498 u=craig n=ansible | PLAY [Create an LXC container in Proxmox] ***********************************************************************************************************************************************
2023-01-09 22:15:44,522 p=4498 u=craig n=ansible | TASK [Gathering Facts] ******************************************************************************************************************************************************************
2023-01-09 22:15:47,627 p=4498 u=craig n=ansible | ok: [192.168.1.99]
2023-01-09 22:15:47,643 p=4498 u=craig n=ansible | TASK [ansible.builtin.include_vars] *****************************************************************************************************************************************************
2023-01-09 22:15:47,655 p=4498 u=craig n=ansible | ok: [192.168.1.99]
2023-01-09 22:15:47,685 p=4498 u=craig n=ansible | TASK [pm_create_lxc : Install proxmoxer on main host] ***********************************************************************************************************************************
2023-01-09 22:15:49,313 p=4498 u=craig n=ansible | ok: [192.168.1.99]
2023-01-09 22:15:49,329 p=4498 u=craig n=ansible | TASK [pm_create_lxc : Create a directory to house the ssh keys to pass to a new LXC] ****************************************************************************************************
2023-01-09 22:15:51,053 p=4498 u=craig n=ansible | ok: [192.168.1.99]
2023-01-09 22:15:51,069 p=4498 u=craig n=ansible | TASK [pm_create_lxc : Copy the bash script to snippets directory and make it executable] ************************************************************************************************
2023-01-09 22:15:51,163 p=4498 u=craig n=ansible | An exception occurred during task execution. To see the full traceback, use -vvv. The error was: If you are using a module and expect the file to exist on the remote, see the remote_src option
2023-01-09 22:15:51,163 p=4498 u=craig n=ansible | fatal: [192.168.1.99]: FAILED! => {"changed": false, "msg": "Could not find or access '../../../../enable_lxc_ssh_hook.sh'\nSearched in:\n\t/Users/craig/Projects/automation2/ansible/roles/pm_create_lxc/files/../../../../enable_lxc_ssh_hook.sh\n\t/Users/craig/Projects/automation2/ansible/roles/pm_create_lxc/../../../../enable_lxc_ssh_hook.sh\n\t/Users/craig/Projects/automation2/ansible/roles/pm_create_lxc/tasks/files/../../../../enable_lxc_ssh_hook.sh\n\t/Users/craig/Projects/automation2/ansible/roles/pm_create_lxc/tasks/../../../../enable_lxc_ssh_hook.sh\n\t/Users/craig/Projects/automation2/ansible/playbooks/files/../../../../enable_lxc_ssh_hook.sh\n\t/Users/craig/Projects/automation2/ansible/playbooks/../../../../enable_lxc_ssh_hook.sh on the Ansible Controller.\nIf you are using a module and expect the file to exist on the remote, see the remote_src option"}
2023-01-09 22:15:51,164 p=4498 u=craig n=ansible | PLAY RECAP ******************************************************************************************************************************************************************************
2023-01-09 22:15:51,164 p=4498 u=craig n=ansible | 192.168.1.99               : ok=4    changed=0    unreachable=0    failed=1    skipped=0    rescued=0    ignored=0   
2023-01-09 22:16:52,729 p=4626 u=craig n=ansible | PLAY [Create an LXC container in Proxmox] ***********************************************************************************************************************************************
2023-01-09 22:16:52,747 p=4626 u=craig n=ansible | TASK [Gathering Facts] ******************************************************************************************************************************************************************
2023-01-09 22:16:55,711 p=4626 u=craig n=ansible | ok: [192.168.1.99]
2023-01-09 22:16:55,728 p=4626 u=craig n=ansible | TASK [ansible.builtin.include_vars] *****************************************************************************************************************************************************
2023-01-09 22:16:55,741 p=4626 u=craig n=ansible | ok: [192.168.1.99]
2023-01-09 22:16:55,772 p=4626 u=craig n=ansible | TASK [pm_create_lxc : Install proxmoxer on main host] ***********************************************************************************************************************************
2023-01-09 22:16:57,187 p=4626 u=craig n=ansible | ok: [192.168.1.99]
2023-01-09 22:16:57,204 p=4626 u=craig n=ansible | TASK [pm_create_lxc : Create a directory to house the ssh keys to pass to a new LXC] ****************************************************************************************************
2023-01-09 22:16:58,380 p=4626 u=craig n=ansible | ok: [192.168.1.99]
2023-01-09 22:16:58,398 p=4626 u=craig n=ansible | TASK [pm_create_lxc : Copy the bash script to snippets directory and make it executable] ************************************************************************************************
2023-01-09 22:16:58,490 p=4626 u=craig n=ansible | An exception occurred during task execution. To see the full traceback, use -vvv. The error was: If you are using a module and expect the file to exist on the remote, see the remote_src option
